id,latitude,longitude,trigger_index,distance,magnitude,magtype
nc75116556,36.639,-121.294666666667,3338.6860366739156,636.1735092494548,2.56,md
nc75116561,36.6343333333333,-121.293666666667,2589.933052456379,635.7531754892017,2.78,md
nc75116576,36.640998840332,-121.291168212891,2336.274529974016,636.0977718789363,2.87,md
nc75116766,36.987,-121.470166666667,4884.793174593876,674.2891634048956,2.28,md
ci40839055,32.7936667,-116.5838333,252.8481116290207,29.030847505550824,2.12,ml
ci40839295,33.2441667,-116.288,284.0260404327804,68.92204569804713,2.77,ml
nc75117186,36.7203333333333,-121.422,6506.611347175151,650.6611347175152,2.0,md
ci40839535,35.0995,-119.108,2847.8164445332363,375.4153218177688,2.24,ml
ci40839903,34.3718333,-116.9281667,921.6290570709237,201.63046825765792,2.68,ml
ci40840007,35.0813333,-119.1606667,2002.9967878644063,377.2943075711783,2.55,ml
ci40840015,33.1655,-116.0405,205.16122075039226,66.38886968276617,3.02,ml
us6000pk5q,31.1515,-116.4678,925.8788508549065,164.64712966657788,2.5,ml
ci40840071,35.5181667,-118.3805,1589.137039503957,372.5300839497371,2.74,ml
ci40840239,32.5193333,-115.2043333,1016.9597407278676,107.72183937213234,2.05,ml
ci40840391,33.168,-116.0368333,402.4343213925656,66.78747308866213,2.44,ml
ci40840711,33.7861667,-116.0608333,850.6041148871717,131.74297892525928,2.38,ml
ci40840775,34.045,-117.1323333,733.7234338835158,173.99324583391476,2.75,ml
us6000pkdz,31.4779,-115.6532,1280.0132224073093,143.61984572915247,2.1,ml
ci40840919,35.9081667,-117.7046667,3772.719658125135,386.05975879992934,2.02,ml
ci40841463,33.1665,-116.036,517.5300706140142,66.67078814562198,2.22,ml
nc75118456,35.8393333333333,-119.9415,2102.200136293997,487.1627349010715,2.73,md
ci40841767,33.8656667,-115.5313333,959.1390128687726,157.355365558921,2.43,ml
us6000pkmi,31.4743,-115.6139,580.0306359510954,145.6971084305429,2.8,ml
ci40841815,35.9515,-117.6796667,2431.860992084281,389.88699263580355,2.41,ml
ci40842151,33.8083333,-117.6288333,1756.677120281611,177.70184826453217,2.01,ml
ci40842231,33.86,-115.5263333,1448.710246099376,157.02960263653947,2.07,ml
ci40842287,35.9566667,-117.3941667,1007.3854810967249,382.99727792026204,3.16,ml
nc75119031,36.2721666666667,-120.844666666667,5340.303803640226,578.8499021815444,2.07,md
nc75119236,36.1256666666667,-120.692833333333,3100.5403111960127,557.7471786994867,2.51,md
ci40842895,34.3613333,-116.6766667,1037.9070230258635,195.50526188977366,2.55,ml
nc75119551,36.064,-120.6205,4613.426485882021,548.3067654587717,2.15,md
ci40843319,34.9486667,-118.6083333,2147.3225057006375,332.5808782993938,2.38,ml
nc75119846,36.0616666666667,-120.6255,5002.0036471473195,548.4587936125727,2.08,md
ci40843455,31.7058333,-115.0688333,523.4151090677385,158.06883591135258,2.96,ml
ci40843679,34.397,-119.5413333,2763.96849335217,356.06811724548805,2.22,ml
nc75120116,36.0198333333333,-120.577666666667,4831.7774839559825,542.1343504079322,2.1,md
ci40843719,34.0588333,-118.9645,1563.081820273089,291.05945510820993,2.54,ml
ci40843951,34.0606667,-116.8003333,754.7076775396271,165.112049422129,2.68,ml
ci40844079,34.0458333,-117.1296667,624.427875929292,173.97317234091244,2.89,ml
ci40844087,34.0525,-117.137,1670.5865048073333,174.93188211723302,2.04,ml
ci40844255,33.6826667,-116.8023333,551.9538549185444,124.99791555953269,2.71,ml
ci40844295,34.5033333,-116.5055,1682.6428400249329,209.407360080353,2.19,ml
nc75120701,36.9623333333333,-121.593166666667,3218.544723245276,680.2358996802964,2.65,md
ci40845015,33.776,-115.9141667,1181.2826820220357,134.07686204614106,2.11,ml
ci41033480,35.3448333,-117.7963333,1658.1993700985636,330.85427138627983,2.6,ml
ci41033904,35.1581667,-117.353,552.5759707636729,296.7508662102515,3.46,mw
ci41034048,33.5563333,-116.6631667,1051.6963630519297,107.61935183181954,2.02,ml
nc75121716,36.6791666666667,-121.320166666667,1913.3156986960853,640.8946332613,3.05,ml
ci41034096,35.5976667,-118.3425,2228.4360668513687,378.44274054471515,2.46,ml
ci41034376,32.3291667,-115.3858333,62.71666745452314,96.02470317810184,4.37,ml
ci41034816,35.2493333,-119.3641667,1802.8742325277651,403.61326545400806,2.7,ml
nc75121956,36.6555,-121.280666666667,3340.510174268513,636.5210915025214,2.56,md
ci41034888,33.7858333,-116.0628333,512.2528622729891,131.66925968977705,2.82,ml
ci41034936,34.0436667,-117.131,1096.6460699253264,173.80668907638835,2.4,ml
ci41035256,33.9506667,-118.5006667,1823.6314975320897,248.8496788884697,2.27,ml
ci41035344,35.3098333,-118.589,3093.234945319599,363.42341741095066,2.14,ml
nc75122751,34.8228333333333,-120.893666666667,4868.187103775224,486.8187103775225,2.0,md
ci40850775,33.9888333,-118.3926667,1664.7476783942577,243.41560565778974,2.33,ml
ci40850991,33.9515,-116.3786667,580.4229554593207,147.48388874963942,2.81,ml
ci40851119,34.0433333,-116.6415,1172.9502703866162,160.05881590269962,2.27,ml
ci40851383,34.3483333,-118.8105,1364.2454454418598,298.46438311856645,2.68,ml
nc75123366,36.644,-121.268166666667,1961.8138726797408,634.8305252757135,3.02,ml
ci40851823,34.5171667,-119.07,1402.6242069813152,328.8072083070855,2.74,ml
ci40851855,32.3795,-115.239,453.20460137944957,107.47174749960988,2.75,ml
ci40852279,33.9118333,-116.2105,503.63422785365515,143.58703837509972,2.91,ml
ci40852335,33.9141667,-116.213,1116.4423779803587,143.82563929244137,2.22,ml
ci40852519,36.4626667,-117.9526667,3466.0372705728996,451.68246238880863,2.23,ml
ci40852607,33.4163333,-116.9235,534.9553658285415,103.11397950796847,2.57,ml
nc75124341,36.647,-121.254,5459.910421440887,634.140539067496,2.13,md
nc75124491,35.8598333333333,-119.9525,3670.712492420364,489.49737799522086,2.25,md
ci40170314,35.4523333,-118.2665,1650.0052376646345,360.98181382784486,2.68,ml
ci40170410,35.7668333,-117.5805,2240.3645773034514,367.55192137625517,2.43,ml
ci40171730,35.665,-117.5078333,3161.5767889735052,354.7347501921018,2.1,ml
ci40172042,33.4708333,-116.8958333,1022.4223707219213,107.06076525488041,2.04,ml
ci40173050,35.246,-118.5245,2749.7538801879514,354.2369203418584,2.22,ml
nc75125791,36.6186666666667,-121.2325,5685.1072452290355,630.5777778473853,2.09,md
ci40176202,31.6168333,-114.4765,412.27828923126907,209.02126186364453,3.41,ml
ci40176210,31.6548333,-114.4906667,414.9941867193756,205.60894899299342,3.39,ml
ci40176378,34.4278333,-119.7431667,2584.6416912587356,373.5943893673392,2.32,ml
ci40176386,34.445,-119.75,2979.76401329823,375.13006374909156,2.2,ml
ci40176402,34.4275,-119.7438333,1404.23074746604,373.6271939522906,2.85,ml
nc75126206,36.6186666666667,-121.2265,4948.4625194835735,630.1882264857803,2.21,md
nc75126331,36.9811666666667,-121.6535,5902.713506678617,685.5698420228548,2.13,md
nc75126351,36.866,-121.611333333333,4302.300245296646,674.0633513245074,2.39,md
nc75126526,36.7933333333333,-121.530166666667,5268.458748472686,663.2596599441562,2.2,md
ci40177370,33.6596667,-116.7385,894.454117626993,120.65854048600822,2.26,ml
ci40177482,33.2601667,-116.4441667,694.7462140391417,71.09289322398386,2.02,ml
ci40178306,31.6816667,-115.059,339.29446819419275,160.5376047847483,3.35,ml
ci40178666,33.2373333,-116.7906667,328.31160653895245,79.6684258760148,2.77,ml
ci40178818,34.4503333,-118.0095,2096.8518109674787,255.01618179286316,2.17,ml
nc75127691,35.9911666666667,-120.548166666667,4423.795887991296,538.0158628691981,2.17,md
us7000pb60,31.4403,-115.6885,820.5653198493018,145.91944128800162,2.5,ml
ci40179938,33.8065,-117.6311667,749.346461261105,177.69804946651948,2.75,ml
ci40179970,33.8065,-117.6308333,1512.2776586863542,177.67713235802742,2.14,ml
ci40181154,33.9416667,-118.353,1973.8233463261608,237.3057609505472,2.16,ml
ci40181210,33.3648333,-116.3161667,568.6182208313412,82.19033907604108,2.32,ml
nc75128881,36.575,-121.17,5065.392764330167,623.1794529854407,2.18,md
nc75129497,36.8633333333333,-121.416166666667,6171.0400431330545,661.238853961138,2.06,md
ci40182130,33.8946667,-119.4395,3133.929851999805,320.69284558508616,2.02,ml
ci40182138,33.048,-116.442,383.56766162930046,47.73555595006468,2.19,ml
nc75129922,36.9701666666667,-121.458833333333,5099.589668127195,672.2568443881307,2.24,md
nc75130257,36.9965,-121.102833333333,5180.781564912137,652.2217565022644,2.2,md
ci40182738,32.6663333,-115.6795,508.68930221750156,62.58245625645338,2.18,ml
ci40182746,35.5983333,-118.3415,3041.0445876338,378.462442435855,2.19,ml
nn00893112,36.6509,-116.2703,3992.7925030980073,447.99868726744944,2.1,ml
nn00893160,36.6432,-116.2742,1997.2844063858151,447.13628203088433,2.7,ml
ci40183218,31.7108333,-115.047,771.1931912601767,159.2807113524963,2.63,ml
ci40183482,34.1686667,-117.264,307.30823129494553,191.67884908914607,3.59,ml
ci40183490,34.1688333,-117.2633333,634.6718673374324,191.66783976564392,2.96,ml
ci40183738,33.2211667,-116.085,325.9273264101021,70.48890662159508,2.67,ml
ci40183770,36.0266667,-117.7786667,928.6219251707437,400.7180758717014,3.27,ml
ci40184050,33.4133333,-118.0516667,1286.4833914551964,181.72060909640763,2.3,ml
ci40184058,34.1708333,-117.2633333,387.25749858347876,191.86680156377037,3.39,ml
nn00893278,36.6501,-116.2724,4479.067286911693,447.90672869116935,2.0,ml
ci40184194,33.4555,-116.624,735.3462117464247,95.82787538086907,2.23,ml
nc75131707,36.8058333333333,-120.915666666667,3244.290969729134,625.3451669793285,2.57,md
ci40184482,36.1686667,-118.0566667,2201.8647581354658,424.4149176783244,2.57,ml
ci40184834,34.1701667,-117.2655,1238.946563059743,191.89010268114302,2.38,ml
nc75133062,36.0826666666667,-120.183833333333,391.3180930413526,521.8310638639254,4.25,ml
ci40185978,33.5836667,-118.16,1976.3237627206108,199.9208513333784,2.01,ml
ci40186106,35.6723333,-117.5185,3517.357888245226,355.8086973027854,2.01,ml
ci40186130,34.0585,-118.9238333,2717.7900450695643,287.8829229489687,2.05,ml
nc75133742,36.2705,-120.5285,1981.2915065295422,558.4038163862097,2.9,mh
ci40186202,34.0415,-118.91,403.68225664837115,285.78515182489,3.7,mw
us7000pdza,34.0255,-118.9174,638.9372249737448,285.4027748102404,3.3,ml
ci40186282,34.0488333,-118.9136667,390.96865757166273,286.5114239568978,3.73,ml
nc75134117,35.7913333333333,-120.345166666667,3444.457308803271,509.47256981382066,2.34,md
ci40186370,31.9186667,-115.8136667,519.1635023618398,93.39081245951093,2.51,ml
ci40186482,33.6446667,-116.7413333,320.69936357381624,119.15111151671526,3.14,ml
ci40186658,34.1696667,-117.2645,866.6551402042687,191.79899058385993,2.69,ml
ci40186810,31.7048333,-115.072,764.5792746198551,157.9146861343858,2.63,ml
ci40187002,32.5991667,-115.731,514.3013813802299,57.70556409816103,2.1,ml
