id,time,latitude,longitude,depth,magnitude,location,magtype,url,eventtype,alert,significance,magnitude0,magtype0,magsource0,magnitude1,magtype1,magsource1
us7000fvbu,2021-11-19 01:08:43.667000+00:00,28.558,-17.8204,35.0,4.2,"7 km SW of Mazo, Spain",mb,https://earthquake.usgs.gov/earthquakes/eventpage/us7000fvbu,earthquake,,271,4.2,mb,us,,,
us7000fv4s,2021-11-13 06:55:57.402000+00:00,28.6606,-17.8628,10.0,4.2,"2 km ENE of El Paso, Spain",mb,https://earthquake.usgs.gov/earthquakes/eventpage/us7000fv4s,earthquake,,271,4.2,mb,us,,,
us7000ft4n,2021-11-11 03:37:55.185000+00:00,28.5877,-17.9297,35.0,4.3,"6 km S of Tazacorte, Spain",mb,https://earthquake.usgs.gov/earthquakes/eventpage/us7000ft4n,earthquake,,284,4.3,mb,us,,,
us7000fpu4,2021-10-26 16:25:33.055000+00:00,28.4947,-17.8688,10.0,4.6,"2 km W of Fuencaliente de la Palma, Spain",mb,https://earthquake.usgs.gov/earthquakes/eventpage/us7000fpu4,earthquake,,326,4.6,mb,us,,,
us7000fxa4,2021-11-23 01:03:24.298000+00:00,28.696,-17.6878,10.0,4.6,"6 km SE of Puntallana, Spain",mb,https://earthquake.usgs.gov/earthquakes/eventpage/us7000fxa4,earthquake,,326,4.6,mb,us,,,
usc000lst3,2013-12-27 17:46:03.420000+00:00,27.7975,-18.2868,7.48,5.4,"28 km W of Frontera, Spain",mb,https://earthquake.usgs.gov/earthquakes/eventpage/usc000lst3,earthquake,,453,5.4,mb,us,5.1,mb_Lg,mdd
